n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train score,Val score,Test score,Time
100.0,50.0,19421220.0,0.0,0.75,0.75,0.879,0.4754,0.4475,98.28
100.0,50.0,19421220.0,0.0001,0.5,0.5,0.5943,0.4867,0.4552,46.31
100.0,50.0,19421220.0,0.0001,0.5,0.75,0.6044,0.4872,0.458,129.56
100.0,50.0,19421220.0,0.0001,0.75,0.5,0.5709,0.4819,0.4531,64.06
100.0,50.0,19421220.0,0.0001,0.75,0.75,0.579,0.4836,0.4528,99.78
100.0,50.0,19421220.0,0.01,0.5,0.5,0.1912,0.1944,0.1917,46.77
100.0,50.0,19421220.0,0.01,0.5,0.75,0.2185,0.2228,0.2195,70.8
100.0,50.0,19421220.0,0.01,0.75,0.5,0.1883,0.1919,0.1886,64.56
100.0,50.0,19421220.0,0.01,0.75,0.75,0.2176,0.222,0.2179,99.27
100.0,50.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,46.77
100.0,50.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,70.78
100.0,50.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,64.55
100.0,50.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,99.26
100.0,50.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,46.78
100.0,50.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,70.82
100.0,50.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,64.57
100.0,50.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,99.3
100.0,50.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,46.8
100.0,50.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,70.83
100.0,50.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,64.94
100.0,50.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,99.51
100.0,100.0,19421220.0,0.0,0.5,0.5,0.8036,0.4819,0.4495,46.68
100.0,100.0,19421220.0,0.0,0.5,0.75,0.8032,0.4757,0.452,70.8
100.0,100.0,19421220.0,0.0,0.75,0.5,0.8798,0.4788,0.4506,64.11
100.0,100.0,19421220.0,0.0,0.75,0.75,0.879,0.4754,0.4475,99.09
100.0,100.0,19421220.0,0.0001,0.5,0.5,0.5943,0.4867,0.4552,46.52
100.0,100.0,19421220.0,0.0001,0.5,0.75,0.6044,0.4872,0.458,70.4
100.0,100.0,19421220.0,0.0001,0.75,0.5,0.5709,0.4819,0.4531,64.48
100.0,100.0,19421220.0,0.0001,0.75,0.75,0.579,0.4836,0.4528,99.18
100.0,100.0,19421220.0,0.01,0.5,0.5,0.1912,0.1944,0.1917,46.72
100.0,100.0,19421220.0,0.01,0.5,0.75,0.2185,0.2228,0.2195,70.72
100.0,100.0,19421220.0,0.01,0.75,0.5,0.1883,0.1919,0.1886,64.48
100.0,100.0,19421220.0,0.01,0.75,0.75,0.2176,0.222,0.2179,99.16
100.0,100.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,46.71
100.0,100.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,70.62
100.0,100.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,64.29
100.0,100.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,98.8
100.0,100.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,46.56
100.0,100.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,70.41
100.0,100.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,64.25
100.0,100.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,98.79
100.0,100.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,46.71
100.0,100.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,71.78
100.0,100.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,64.35
100.0,100.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,99.32
