gamma,subsample,colsample_bytree,max_depth,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.01,0.5,0.75,50.0,0.75,0.9764,-0.0672,-0.076,0.0229,0.1537,0.1544,47320717490645.52,143248043856139.66,147471224725550.2,51.79
100.0,0.25,0.5,25.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,11.38
0.0001,0.25,0.25,50.0,0.15,0.9062,-0.1038,-0.1154,0.0456,0.1563,0.1572,68067687222006.5,193616886618901.12,190419318560844.25,15.48
1.0,0.5,0.5,100.0,0.75,0.3884,0.0312,0.0121,0.1164,0.1464,0.1479,79044092900314.19,101724775304656.72,104666447129948.6,32.21
0.01,0.75,0.5,100.0,0.45,0.9856,-0.0243,-0.0309,0.0178,0.1506,0.1511,28770681652301.69,128165926387675.12,131701045292458.22,37.35
0.0001,0.75,0.5,50.0,0.9,0.9995,-0.0244,-0.0348,0.0033,0.1506,0.1514,7097026560186.52,129085701636369.23,135143909436875.44,33.53
1.0,0.5,0.5,100.0,0.6,0.3884,0.0312,0.0121,0.1164,0.1464,0.1479,79044092900314.19,101724775304656.72,104666447129948.6,31.08
100.0,0.25,0.5,25.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,12.82
0.0,0.75,0.25,5.0,0.9,0.2188,0.0648,0.0454,0.1315,0.1439,0.1454,87462275778138.83,95776006333460.8,97438318017713.66,2.78
1.0,0.25,0.25,50.0,0.45,0.1819,0.0533,0.0268,0.1346,0.1447,0.1468,91720955159082.62,101424866063626.3,100882792532651.31,12.7
1.0,0.5,0.75,10.0,0.75,0.3393,0.0477,0.0206,0.1209,0.1452,0.1473,78754597410134.55,95795331266865.52,98684567846845.5,11.43
0.0001,0.25,0.25,25.0,0.9,0.9043,-0.1134,-0.1326,0.046,0.157,0.1584,72107545562376.75,193454938897390.9,192500567092262.1,11.82
1.0,0.5,0.25,5.0,0.6,0.0878,0.0722,0.0495,0.1421,0.1433,0.1451,92481884626539.9,93843803384746.66,93679747617753.92,2.97
0.0001,0.25,0.5,50.0,0.15,0.9243,-0.1494,-0.1426,0.0409,0.1595,0.1591,61032313054338.16,188789350606236.1,189374131672014.8,29.75
0.01,0.75,0.75,25.0,0.6,0.9859,-0.0347,-0.045,0.0177,0.1513,0.1522,27438013685191.93,127525335187950.72,130793459459901.56,31.69
0.0001,0.25,0.75,25.0,0.9,0.9181,-0.1895,-0.147,0.0426,0.1623,0.1594,65459411411641.96,186379058016453.5,185535345545832.28,27.52
1.0,0.25,0.75,100.0,0.45,0.3218,-0.0087,-0.0361,0.1225,0.1494,0.1515,96232597423187.28,113682482619014.08,116717087498888.66,36.36
0.01,0.5,0.75,25.0,0.3,0.9744,-0.0555,-0.0696,0.0238,0.1528,0.1539,47396354580161.016,144654748108324.7,142711982095090.44,32.23
0.0001,0.5,0.5,50.0,0.6,0.996,-0.0642,-0.0636,0.0094,0.1535,0.1535,15202156937719.72,147814161704547.44,147563950736934.47,35.07
0.01,0.75,0.5,50.0,0.75,0.9856,-0.0243,-0.0309,0.0178,0.1506,0.1511,28770681652301.69,128165926387675.12,131701045292458.22,36.07
0.0001,0.5,0.5,50.0,0.75,0.996,-0.0642,-0.0636,0.0094,0.1535,0.1535,15202156937719.72,147814161704547.44,147563950736934.47,35.32
0.0001,0.25,0.75,5.0,0.15,0.2327,0.0238,0.0072,0.1303,0.147,0.1483,89929581767674.5,102616254973351.2,103299286172091.52,4.15
0.0001,0.75,0.75,10.0,0.15,0.8605,-0.0217,-0.0246,0.0556,0.1504,0.1507,41817274199767.09,116275547107185.88,118344917753462.4,11.06
100.0,0.25,0.75,5.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,4.15
100.0,0.5,0.25,100.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,9.74
0.0,0.5,0.25,10.0,0.45,0.7422,-0.0232,-0.0247,0.0755,0.1505,0.1507,67895481886752.02,127270092596687.84,129959754703711.05,5.8
0.0001,0.25,0.5,100.0,0.75,0.9253,-0.1411,-0.1362,0.0407,0.1589,0.1587,60442455090035.69,187412992383543.6,189795816569549.47,32.08
0.0,0.25,0.25,100.0,0.6,0.9064,-0.1052,-0.1224,0.0455,0.1564,0.1577,67002207050173.56,196672171452468.6,193769090509281.84,15.83
0.01,0.5,0.5,10.0,0.9,0.7988,-0.0405,-0.0528,0.0667,0.1517,0.1527,63040036635042.98,127837385009189.86,128446430912554.52,8.98
1.0,0.25,0.25,50.0,0.6,0.1819,0.0533,0.0268,0.1346,0.1447,0.1468,91720955159082.62,101424866063626.3,100882792532651.31,12.7
100.0,0.5,0.75,10.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,11.94
1.0,0.25,0.5,50.0,0.75,0.2947,0.0158,-0.0105,0.125,0.1476,0.1496,91155831517527.48,108102113019000.48,108974137815436.42,23.49
1.0,0.75,0.25,10.0,0.3,0.2128,0.0673,0.0514,0.132,0.1437,0.145,85379967192198.89,94194902263173.95,94597102339134.62,5.15
0.01,0.75,0.25,100.0,0.9,0.9817,-0.0032,-0.0165,0.0201,0.149,0.1501,32940163998656.52,128762755168332.62,130426236894921.58,18.85
0.0001,0.25,0.5,50.0,0.75,0.9243,-0.1494,-0.1426,0.0409,0.1595,0.1591,61032313054338.16,188789350606236.1,189374131672014.8,30.91
0.0,0.75,0.75,25.0,0.15,0.9996,-0.0451,-0.0493,0.0028,0.1521,0.1525,3228891830441.5405,130971444928006.28,133677748780420.31,33.05
0.01,0.75,0.5,25.0,0.15,0.9848,-0.0288,-0.0227,0.0184,0.1509,0.1505,28922214307432.957,127622210220332.9,129290344602788.72,23.06
0.0001,0.25,0.75,10.0,0.9,0.6691,-0.1058,-0.061,0.0856,0.1564,0.1533,86532678791624.3,142561585290256.16,142048005299165.12,9.72
0.0001,0.5,0.25,10.0,0.15,0.7508,-0.025,-0.0416,0.0743,0.1506,0.1519,66970051884946.15,129761918917818.02,130948223036664.8,5.76
1.0,0.25,0.5,5.0,0.3,0.1244,0.058,0.0446,0.1392,0.1444,0.1455,91049380038617.77,97032040616092.92,93533129388820.2,3.4
0.0001,0.75,0.5,100.0,0.15,0.9995,-0.0255,-0.0342,0.0033,0.1507,0.1514,7101438376353.639,128986922439115.64,135018097771538.23,34.99
1.0,0.75,0.5,10.0,0.6,0.3114,0.045,0.0299,0.1235,0.1454,0.1466,79730774647310.52,96146641784693.6,95569179093625.42,8.05
0.0001,0.5,0.5,10.0,0.75,0.7927,-0.0399,-0.0445,0.0677,0.1517,0.1521,58584807892543.27,123778917530614.34,126702848373683.1,8.89
0.0,0.5,0.25,100.0,0.45,0.9936,-0.0323,-0.0477,0.0119,0.1512,0.1524,14339679718591.098,153889147251899.8,155210050476208.03,18.36
