max_bins,interactions,learning_rate,max_rounds,min_samples_leaf,max_leaves,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
4.0,2.0,100.0,500.0,32.0,100.0,-3591875.8955,-3591634.9258,-3588167.0061,281.9666,281.9432,281.9623,9.586148554342161e+17,9.58553681742897e+17,9.588836488001743e+17,1.84
1024.0,16.0,0.0001,500.0,1.0,100.0,0.0287,0.03,0.0244,0.1466,0.1465,0.147,54015538849237.6,53964046832003.375,54211481629226.21,8.71
1024.0,16.0,0.1,500.0,32.0,100000.0,0.0879,0.0699,0.0475,0.1421,0.1435,0.1453,101098449573874.58,101663813331051.89,101971034537149.08,2.96
1024.0,2.0,0.1,25.0,1.0,100.0,0.0792,0.0708,0.0484,0.1428,0.1434,0.1452,102861614481869.52,103219293573146.17,103153321812781.67,1.47
65535.0,16.0,100.0,25.0,32.0,100.0,-4329227.8027,-4335761.673,-4309887.7998,309.5581,309.7763,309.0207,9.483415091238351e+17,9.459953101533404e+17,9.458453931001295e+17,2.03
65535.0,16.0,0.1,25.0,32.0,100000.0,0.0876,0.0699,0.0475,0.1421,0.1435,0.1453,101082763310403.06,101629890123328.98,101930592466938.11,1.97
65535.0,2.0,100.0,500.0,1.0,100000.0,-4619875.4007,-4621290.3238,-4608322.143,319.7806,319.8138,319.5406,9.472214392044257e+17,9.46856638640777e+17,9.461866168596136e+17,1.87
4.0,2.0,0.1,25.0,32.0,100000.0,0.0584,0.0672,0.0464,0.1444,0.1437,0.1454,110278854446724.3,109941122502782.4,110294364849533.44,1.27
1024.0,16.0,100.0,25.0,32.0,100.0,-4329227.8027,-4335761.673,-4309887.7998,309.5581,309.7763,309.0207,9.483415091238351e+17,9.459953101533404e+17,9.458453931001295e+17,1.88
4.0,16.0,0.0001,25.0,32.0,100000.0,-0.0148,-0.0146,-0.0152,0.1499,0.1499,0.15,8542243895312.707,8530347096685.867,8548684679047.757,2.0
1024.0,16.0,0.1,25.0,1.0,100.0,0.0867,0.0694,0.0489,0.1422,0.1435,0.1452,101409639113825.16,102177527637239.72,102061719752584.6,3.0
65535.0,2.0,0.0001,500.0,1.0,100.0,0.0201,0.0208,0.0167,0.1473,0.1472,0.1476,47382666830255.87,47350838148273.336,47563610273123.8,6.62
65535.0,16.0,0.0001,25.0,32.0,100000.0,-0.0134,-0.013,-0.0139,0.1498,0.1497,0.1499,8465601795739.083,8450210797145.759,8487488163797.477,1.98
4.0,2.0,100.0,25.0,32.0,100000.0,-3591875.8955,-3591634.9258,-3588167.0061,281.9666,281.9432,281.9623,9.586148554342161e+17,9.58553681742897e+17,9.588836488001743e+17,1.26
4.0,2.0,0.0001,25.0,32.0,100000.0,-0.0192,-0.0191,-0.0193,0.1502,0.1502,0.1503,5470043980432.49,5466576546594.099,5472157704013.668,1.29
65535.0,16.0,0.0001,25.0,32.0,100.0,-0.0134,-0.013,-0.0139,0.1498,0.1497,0.1499,8465602058138.11,8450211099215.096,8487489778306.141,1.98
1024.0,2.0,0.1,500.0,1.0,100000.0,0.0803,0.0713,0.0483,0.1427,0.1434,0.1452,102680594184323.44,103037921837268.5,102972943471651.73,1.99
