n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
100.0,5.0,19421220.0,0.01,0.75,0.75,0.2089,0.2109,0.2087,0.2238,0.2235,0.224,233521009753440.88,233147258074121.28,233855984710115.28,14.18
50.0,50.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,10.82
100.0,100.0,19421220.0,0.01,0.5,0.5,0.191,0.1925,0.191,0.2263,0.2261,0.2265,244342182211092.2,244053107301140.03,244640457046533.12,21.45
100.0,100.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,43.59
50.0,50.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,15.64
50.0,5.0,19421220.0,0.0001,0.5,0.75,0.4027,0.3776,0.36,0.1945,0.1985,0.2014,181581087387616.34,187262958050449.75,189325000953427.97,5.4
100.0,50.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,44.38
50.0,5.0,19421220.0,0.0,0.5,0.5,0.4028,0.379,0.3619,0.1945,0.1983,0.2011,183509402908709.03,188804507532617.9,190769044677998.94,3.73
50.0,5.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,7.22
50.0,5.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285165704217878.1,285136936701450.1,285458543893759.44,7.21
50.0,5.0,19421220.0,0.0001,0.75,0.5,0.3981,0.3752,0.3602,0.1952,0.1989,0.2014,184710125347677.03,189754452011540.06,191730874938183.34,4.9
100.0,25.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285130567801621.25,285101803829754.94,285423371395545.25,22.27
50.0,10.0,19421220.0,0.0,0.5,0.75,0.6285,0.4006,0.3831,0.1534,0.1948,0.1977,135454976514241.08,175705608671747.97,177411949047119.34,11.92
50.0,25.0,19421220.0,0.01,0.75,0.75,0.2079,0.211,0.2081,0.224,0.2235,0.224,234966966095771.12,234434689186305.22,235235208662041.28,22.02
50.0,25.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,10.79
100.0,25.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285147658551621.75,285118892855640.6,285440479696217.7,29.78
50.0,100.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,0.2516,0.2516,0.2518,285140182605793.2,285111417663985.4,285432996073261.3,10.74
50.0,10.0,19421220.0,0.0001,0.75,0.5,0.4637,0.395,0.373,0.1843,0.1957,0.1994,170129144446129.66,183395472249597.94,186231471959087.4,9.79
50.0,5.0,19421220.0,0.0,0.5,0.75,0.4058,0.3785,0.3612,0.194,0.1984,0.2012,180862263250894.9,186889996796641.28,188767818415538.16,5.43
