learning_rate,n_estimators,subsample,max_features,ccp_alpha,max_depth,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
100.0,50.0,0.75,0.75,100.0,100.0,19260817.0,-8.955927008449067e+194,-8.95680963578218e+194,-8.946952408793931e+194,4.4523792376793805e+96,4.4523792376793805e+96,4.4523792376793805e+96,1.959760942702769e+112,1.959765523906202e+112,1.959714308224197e+112,4.0
0.0001,200.0,0.25,0.25,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99678853794927.88,99679086807586.31,99676481836557.77,6.61
0.0001,50.0,0.25,0.75,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99682920074395.88,99683153096559.8,99680548019264.56,2.49
0.0001,50.0,0.25,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99682920074395.88,99683153096559.8,99680548019264.56,2.48
0.1,50.0,0.25,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,2.48
100.0,200.0,0.25,0.25,0.1,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59
100.0,200.0,0.75,0.25,0.1,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42
100.0,50.0,0.75,0.25,0.1,5.0,19260817.0,-8.95592700887307e+194,-8.956809636206221e+194,-8.946952409217499e+194,4.452379237784778e+96,4.452379237784777e+96,4.452379237784776e+96,1.95976094274916e+112,1.959765523952593e+112,1.9597143082705856e+112,1.0
0.0001,200.0,0.25,0.75,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99678853794927.88,99679086807586.31,99676481836557.77,9.99
0.0001,200.0,0.25,0.75,0.0,5.0,19260817.0,0.0045,0.0038,0.0037,0.1484,0.1485,0.1486,99476266705664.84,99520725110615.72,99507079010034.22,10.13
100.0,50.0,0.75,0.75,100.0,5.0,19260817.0,-8.955927008449067e+194,-8.95680963578218e+194,-8.946952408793931e+194,4.4523792376793805e+96,4.4523792376793805e+96,4.4523792376793805e+96,1.959760942702769e+112,1.959765523906202e+112,1.959714308224197e+112,2.32
0.0001,50.0,0.75,0.75,0.0,100.0,19260817.0,0.0078,0.0013,0.0012,0.1482,0.1487,0.1488,99328050521725.28,99735816766543.56,99728255078034.88,26.63
0.1,50.0,0.75,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100367850150931.64,100368084774211.28,100365461797201.72,2.22
0.0001,50.0,0.75,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684984609481.9,99685217636471.95,99682612505222.92,16.26
0.0001,200.0,0.75,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,10.54
100.0,50.0,0.75,0.75,0.1,5.0,19260817.0,-8.955927008136357e+194,-8.95680963546944e+194,-8.946952408481533e+194,4.452379237601651e+96,4.452379237601652e+96,4.452379237601651e+96,1.959760942668557e+112,1.9597655238719903e+112,1.9597143081899854e+112,2.51
0.0001,200.0,0.75,0.75,0.0,5.0,19260817.0,0.0046,0.0037,0.0037,0.1484,0.1485,0.1486,99457407965527.52,99511791805515.52,99484760475490.16,26.32
0.1,200.0,0.25,0.75,0.0,100.0,19260817.0,0.9992,-0.2095,-0.3147,0.0042,0.1636,0.1707,8556537384878.825,206619924137893.6,206280281189990.28,99.29
100.0,50.0,0.25,0.75,0.0,100.0,19260817.0,-2.3008566543794445e+200,-2.254477597846697e+200,-2.2057719148724228e+200,2.256740679459899e+99,2.233769922865546e+99,2.2107258355827646e+99,3.856982501426849e+114,3.7694663428352407e+114,3.736838851575645e+114,19.27
0.1,150.0,0.5,0.5,0.1,25.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,98906248972806.64,98906480179397.94,98903895399343.72,20.19
100.0,50.0,0.75,0.25,100.0,5.0,19260817.0,-8.955927008364194e+194,-8.956809635697297e+194,-8.946952408709142e+194,4.4523792376582815e+96,4.4523792376582815e+96,4.4523792376582815e+96,1.9597609426934814e+112,1.9597655238969143e+112,1.9597143082149093e+112,1.17
0.0001,50.0,0.25,0.25,0.0,100.0,19260817.0,0.0033,0.0011,0.001,0.1485,0.1487,0.1488,99589100530881.98,99711386974477.62,99714670061154.31,3.43
0.0001,50.0,0.25,0.75,0.0,5.0,19260817.0,0.0011,0.0009,0.0009,0.1487,0.1487,0.1488,99630222192846.36,99640913799432.4,99636805357022.34,2.56
0.0001,50.0,0.75,0.75,0.0,5.0,19260817.0,0.0012,0.001,0.0009,0.1487,0.1487,0.1488,99627927718939.84,99640692760375.7,99632031119124.62,6.67
0.1,50.0,0.75,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100367850150931.64,100368084774211.28,100365461797201.72,6.56
0.0001,50.0,0.75,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684984609481.9,99685217636471.95,99682612505222.92,2.26
0.1,50.0,0.75,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100367850150931.64,100368084774211.28,100365461797201.72,2.21
100.0,50.0,0.75,0.25,100.0,100.0,19260817.0,-8.955927008381316e+194,-8.956809635714422e+194,-8.946952408726248e+194,4.4523792376625415e+96,4.4523792376625415e+96,4.4523792376625415e+96,1.9597609426953546e+112,1.959765523898788e+112,1.959714308216782e+112,1.67
