n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,boosting_type,max_ctr_complexity,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,silent
25,0.0001,2,0.3,0.75,0.75,4,19260817,Plain,1.0,0.0009,0.0009,0.0009,0.2515,0.2515,0.2517,285071951837467.0,285042465722067.0,285362967629190.0,0.55,
200,0.0001,2,0.3,0.75,0.25,4,19260817,Plain,1.0,0.0069,0.0069,0.0069,0.2508,0.2508,0.2509,284206876615807.0,284175000173670.0,284487694807160.0,2.44,
25,1.0,16,0.9,0.25,0.75,1024,19260817,Plain,1.0,0.9877,0.1998,0.1907,0.0279,0.2251,0.2265,9559827597764.018,199613655390127.44,200620640341903.5,448.41,True
200,1.0,2,0.3,0.75,0.75,4,19260817,Plain,1.0,0.385,0.3661,0.3382,0.1973,0.2004,0.2048,174995461489239.6,180810257562884.0,182808621939780.72,1.35,True
200,0.0001,16,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.0217,0.011,0.0106,0.2489,0.2502,0.2504,282117368013896.2,283691426742415.4,284073231624608.1,3468.02,True
200,0.0001,2,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.0104,0.0105,0.0102,0.2503,0.2503,0.2505,283696936223029.9,283668315035847.06,284024276719682.1,2.18,True
25,0.0001,2,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.0013,0.0013,0.0013,0.2515,0.2515,0.2516,285008194389291.0,284980224162909.5,285305653413470.7,0.45,True
25,0.0001,2,0.3,0.25,0.75,4,19260817,Plain,1.0,0.0008,0.0008,0.0008,0.2515,0.2515,0.2517,285084804607481.0,285056324165681.06,285377978528387.8,0.26,True
200,0.0001,2,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.0104,0.0104,0.0101,0.2503,0.2503,0.2505,283706592117619.3,283677800704493.6,284034535038397.6,1.76,True
200,1.0,2,0.3,0.25,0.75,4,19260817,Plain,1.0,0.3726,0.361,0.3342,0.1993,0.2011,0.2054,176597484971348.7,181016713878750.47,183500655339833.03,1.05,True
25,1.0,2,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.4627,0.4502,0.4086,0.1845,0.1866,0.1936,155701635360963.8,158408476846413.5,165499478616833.97,0.48,True
200,1.0,2,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.5701,0.4387,0.3892,0.165,0.1885,0.1968,133573360349256.86,159237281508131.4,164612991223460.28,2.15,True
200,0.0001,2,0.3,0.25,0.75,4,19260817,Plain,1.0,0.0063,0.0063,0.0063,0.2509,0.2508,0.251,284291514202420.9,284263591402850.7,284583347234966.7,1.0,True
25,1.0,16,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.9838,0.0601,0.0484,0.032,0.244,0.2456,9128091545295.56,197557531797932.25,201790411734594.9,1272.06,True
25,0.0001,16,0.3,0.75,0.25,4,19260817,Plain,1.0,0.0027,0.0012,0.0011,0.2513,0.2515,0.2516,284812150777961.3,285010384269063.1,285337843355334.75,5.14,True
25,1.0,16,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.9855,0.1298,0.0922,0.0303,0.2347,0.2399,8773581523467.732,201481756498215.25,203103136905113.2,450.57,True
25,0.0001,16,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.0023,0.0012,0.0011,0.2514,0.2515,0.2516,284881575376542.2,285016870244358.56,285346656210829.75,1283.64,True
200,1.0,16,0.3,0.25,0.25,1024,19260817,Plain,1.0,1.0,0.0676,-0.0108,0.0,0.243,0.2531,377265683.0987,215755649419030.84,225370919914344.4,3364.1,True
25,0.0001,16,0.3,0.25,0.75,4,19260817,Plain,1.0,0.0026,0.0013,0.0012,0.2513,0.2515,0.2516,284823539550753.6,284997923261375.25,285321285417090.44,3.61,True
25,0.0001,16,0.9,0.75,0.75,4,19260817,Plain,1.0,0.0022,0.001,0.001,0.2514,0.2515,0.2516,284891294681236.5,285035073573616.75,285357633234866.1,5.85,True
25,1.0,2,0.9,0.75,0.25,4,19260817,Plain,1.0,0.3326,0.3342,0.3217,0.2056,0.2053,0.2073,185403659107148.9,187481188025149.6,188035902196581.03,0.26,True
200,0.0001,2,0.9,0.75,0.25,4,19260817,Plain,1.0,0.0069,0.0069,0.0069,0.2508,0.2508,0.2509,284207003069744.2,284175126036205.94,284487822660363.9,0.89,True
200,0.0001,16,0.9,0.25,0.75,4,19260817,Plain,1.0,0.0173,0.009,0.0088,0.2495,0.2505,0.2507,282764280461386.7,283963770699143.25,284308970461486.4,27.65,True
200,0.0001,16,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.0218,0.0105,0.0102,0.2489,0.2503,0.2505,282094673227014.0,283775278053025.75,284136665652481.7,3363.58,True
25,1.0,2,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.4582,0.4413,0.397,0.1852,0.1881,0.1955,158239320322905.5,160942114513517.84,168233990169241.0,0.46,True
25,1.0,2,0.3,0.25,0.75,4,19260817,Plain,1.0,0.3232,0.328,0.3165,0.207,0.2063,0.2081,188795258782373.2,190207636133425.12,190082462855962.28,0.28,True
200,1.0,16,0.9,0.75,0.25,1024,19260817,Plain,1.0,1.0,0.157,0.1567,0.0,0.231,0.2312,732860100.4743,195921099685610.3,200565692856774.88,10229.34,True
25,0.0001,2,0.3,0.25,0.25,1024,19260817,Plain,1.0,0.0011,0.0011,0.0011,0.2515,0.2515,0.2516,285041370128728.5,285015034357682.5,285335800793529.0,0.37,True
200,0.0001,16,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.0222,0.0107,0.0103,0.2488,0.2503,0.2505,282039849982232.3,283751998945241.4,284129095531941.25,11638.48,True
200,1.0,16,0.3,0.25,0.25,4,19260817,Plain,1.0,1.0,-0.0096,-0.0714,0.0,0.2528,0.2606,1136249.8615,209184582561944.7,214873307430005.6,29.83,True
200,1.0,2,0.3,0.75,0.75,1024,19260817,Plain,1.0,0.5729,0.4194,0.3903,0.1645,0.1917,0.1966,131996326265850.3,159410789881584.16,163769027256230.5,2.28,True
200,1.0,16,0.9,0.25,0.75,1024,19260817,Plain,1.0,1.0,0.1949,0.1864,0.0,0.2258,0.2271,488728430.7495,199609474351378.88,200702729047398.0,3892.2,True
200,0.0001,2,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.0104,0.0104,0.0101,0.2503,0.2503,0.2505,283705350750055.7,283677040549839.6,284032955803461.5,1.88,True
25,0.0001,16,0.3,0.75,0.75,4,19260817,Plain,1.0,0.0027,0.0012,0.0012,0.2513,0.2515,0.2516,284816752292853.3,285009520129667.9,285331494536975.44,6.47,True
200,1.0,2,0.9,0.75,0.25,4,19260817,Plain,1.0,0.38,0.3643,0.3357,0.1981,0.2006,0.2052,175679151329115.6,180685103023535.7,182952943530303.6,0.93,True
200,0.0001,16,0.9,0.75,0.25,4,19260817,Plain,1.0,0.0175,0.008,0.0078,0.2494,0.2506,0.2508,282742066884835.0,284118107007535.7,284465996625542.5,45.48,True
25,1.0,16,0.3,0.25,0.25,4,19260817,Plain,1.0,0.9992,-0.0095,-0.0698,0.0073,0.2528,0.2604,2114103633656.8765,209223518273342.4,214642061725200.5,3.74,True
200,1.0,16,0.9,0.75,0.75,1024,19260817,Plain,1.0,1.0,0.2039,0.169,0.0,0.2245,0.2295,447038745.4683,192149686930529.6,197735708057474.97,10056.07,True
25,0.0001,2,0.9,0.25,0.75,1024,19260817,Plain,1.0,0.0011,0.0011,0.0011,0.2515,0.2515,0.2516,285040336986516.2,285013681451742.4,285334379281178.2,0.38,True
25,0.0001,16,0.9,0.25,0.75,1024,19260817,Plain,1.0,0.0023,0.0012,0.0012,0.2514,0.2515,0.2516,284882697779116.56,285006811151364.56,285338118189360.56,437.65,True
200,1.0,16,0.3,0.75,0.75,4,19260817,Plain,1.0,1.0,-0.026,-0.0234,0.0,0.2549,0.2547,48633.5819,211259147581146.7,213162877971509.6,43.48,True
200,1.0,2,0.3,0.75,0.25,4,19260817,Plain,1.0,0.382,0.3648,0.3385,0.1978,0.2006,0.2048,175201213835747.94,179881986755895.62,182971937981010.6,0.86,True
25,0.0001,16,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.0028,0.0014,0.0013,0.2513,0.2515,0.2516,284806517365428.06,284983359336761.1,285313069134794.5,439.84,True
